First_Name,Last_Name,Event,Year,School,Seed,Gender
Karisa,Nelson,EW 1.5K,JR,Samford,04:10.9,F
Elinor,Purrier,EW 1.5K,JR,New Hampshire,04:11.9,F
Hanna,Green,EW 1.5K,SR,Virginia Tech,04:12.3,F
Rhianwedd,Price,EW 1.5K,JR,Miss State,04:13.8,F
Angel,Piccirillo,EW 1.5K,SR,Villanova,04:14.1,F
Millie,Paladino,EW 1.5K,JR,Providence,04:14.8,F
Megan,Moye,EW 1.5K,SR,NC State,04:15.6,F
Danielle,Aragon,EW 1.5K,SR,Notre Dame,04:15.7,F
Danae,Rivers,EW 1.5K,FR,Penn State,04:16.3,F
Jessica,Harris,EW 1.5K,SO,Notre Dame,04:16.6,F
Frances,Schmiede,EW 1.5K,SR,Yale,04:17.5,F
Agnes,Abu,EW 1.5K,SR,Mid. Tenn. St,04:17.8,F
Jaimie,Phelan,EW 1.5K,JR,Michigan,04:17.8,F
Annika,Sisson,EW 1.5K,JR,Stony Brook,04:17.8,F
Ashley,Montgomery,EW 1.5K,SR,Penn,04:17.9,F
Helen,Schlachtenhaufen,EW 1.5K,SR,Dartmouth,04:18.2,F
Jamie,Morrissey,EW 1.5K,JR,Michigan,04:18.3,F
Erika,Kemp,EW 1.5K,JR,NC State,04:18.4,F
Nicole,Hutchinson,EW 1.5K,SO,Villanova,04:18.5,F
Alexandra,Lucki,EW 1.5K,JR,Maryland,04:18.9,F
Shelby,Brown,EW 1.5K,JR,Ole Miss,04:19.1,F
Shannon,Murdock,EW 1.5K,SO,New Hampshire,04:19.1,F
Heather,MacLean,EW 1.5K,JR,UMass Amherst,04:19.2,F
Aynslee,Van Graan,EW 1.5K,JR,Coastal Carolina,04:19.6,F
Taylor,Tubbs,EW 1.5K,SR,Florida,04:19.6,F
Kaitlin,Hanss,EW 1.5K,SR,Princeton,04:19.7,F
Grace,Barnett,EW 1.5K,JR,Clemson,04:19.9,F
S.,Brooke Moore,EW 1.5K,SO,Indiana State,04:20.0,F
Christine,Bendzinski,EW 1.5K,JR,Bucknell,04:20.1,F
Ffion,Price,EW 1.5K,SR,Miss State,04:20.6,F
Katie,Kennedy,EW 1.5K,JR,Virginia Tech,04:20.6,F
Kathryn,Lazarchick,EW 1.5K,SR,Wake Forest,04:20.8,F
Elizabeth,Bird,EW 1.5K,SR,Princeton,04:20.9,F
Rachel,Weber,EW 1.5K,SR,Ohio State,04:21.1,F
Maddie,McHugh,EW 1.5K,SO,Ole Miss,04:21.1,F
Amy,Cashin,EW 1.5K,JR,West Virginia,04:21.2,F
Katherine,Receveur,EW 1.5K,SO,Indiana,04:21.2,F
Gina,Sereno,EW 1.5K,SR,Michigan,04:21.4,F
Amber,Johnson,EW 1.5K,SR,Florida,04:21.5,F
Brenna,Calder,EW 1.5K,JR,Indiana,04:21.5,F
Kat,MacNeal,EW 1.5K,JR,Ole Miss,04:21.5,F
Anne-Marie,Blaney,EW 1.5K,SR,UCF,04:21.6,F
Dillon,McClintock,EW 1.5K,FR,Michigan State,04:21.7,F
Gabrielle,Jennings,EW 1.5K,FR,Furman,04:21.7,F
Allie,Buchalski,EW 1.5K,JR,Furman,04:21.8,F
Alsu,Bogdanova,EW 1.5K,JR,East Michigan,04:21.8,F
Emily,Stevens,EW 1.5K,SR,Auburn,04:21.9,F
Shannon,Hugard,EW 1.5K,JR,Cornell,04:22.1,F
Michelle,McKinney,EW 1.5K,JR,Kentucky,04:22.1,F
Henna,Rustami,EW 1.5K,SR,Columbia,04:22.3,F
Jessica,Drop,EW 1.5K,FR,Georgia,04:22.4,F
Piper,Donaghu,EW 1.5K,JR,Georgetown,04:22.5,F
Rebekah,Greene,EW 1.5K,SR,Florida,04:22.5,F
Stephanie,Aldea,EW 1.5K,,West Virginia,04:22.7,F
Haley,Meier,EW 1.5K,JR,Michigan,04:22.9,F
Madeleine,Sumner,EW 1.5K,FR,Princeton,04:22.9,F
Kennedy,Weisner,EW 1.5K,JR,Georgetown,04:22.9,F
Julie,Kocjancic,EW 1.5K,SR,Penn State,04:22.9,F
Amanda,Corbosiero,EW 1.5K,JR,Richmond,04:23.0,F
Kimberly,Johansen,EW 1.5K,SR,Elon,04:23.0,F
Haley,Yost,EW 1.5K,SO,East Kentucky,04:23.1,F
Elly,Henes,EW 1.5K,FR,NC State,04:23.2,F
Ryen,Frazier,EW 1.5K,FR,NC State,04:23.2,F
Liz,Lansing,EW 1.5K,SO,Duke,04:23.3,F
Kiara,McIntosh,EW 1.5K,SR,Purdue,04:23.4,F
Sydney,Meyers,EW 1.5K,SO,East Michigan,04:23.5,F
Veronica,Eder,EW 1.5K,SR,Auburn,04:23.6,F
Marisa,Ruskan,EW 1.5K,JR,Richmond,04:23.9,F
Regan,Rome,EW 1.5K,JR,William and Mary,04:23.9,F
Emily,Durgin,EW 1.5K,SR,Connecticut,04:24.0,F
Abby,Halbrook,EW 1.5K,SO,Army West Point,04:24.0,F
Ruby,Stauber,EW 1.5K,FR,LSU,04:24.2,F
Nicole,Gardner,EW 1.5K,SO,Alabama,04:24.3,F
Emily,Waligurski,EW 1.5K,SR,Yale,04:24.4,F
Anna,Braswell,EW 1.5K,JR,Ole Miss,04:24.4,F
Kennedy,Beazley,EW 1.5K,JR,Michigan State,04:24.5,F
Elizabeth,McGroarty,EW 1.5K,JR,Delaware,04:24.5,F
Bridget,Flynn,EW 1.5K,JR,Dartmouth,04:24.6,F
Miranda,Salvo,EW 1.5K,SO,Pittsburgh,04:24.6,F
Kaleigh,Roberts,EW 1.5K,JR,Quinnipiac,04:24.7,F
Sydney,Badger,EW 1.5K,SO,Michigan,04:24.8,F
Charlotte,Imer,EW 1.5K,JR,East Kentucky,04:24.8,F
Meredith,Rizzo,EW 1.5K,SR,Yale,04:24.9,F
Megan,Rempel,EW 1.5K,JR,NC State,04:25.0,F
Mackenzie,Andrews,EW 1.5K,SO,Akron,04:25.1,F
Morgan,Szekely,EW 1.5K,JR,La Salle,04:25.1,F
Ellie,Abrahamson,EW 1.5K,SR,Wake Forest,04:25.1,F
Ann,Campbell,EW 1.5K,SO,Villanova,04:25.1,F
Morgan,Ilse,EW 1.5K,SO,North Carolina,04:25.1,F
Brenda,Kigen,EW 1.5K,SO,Auburn,04:25.2,F
Josephine,Thestrup,EW 1.5K,FR,Butler,04:25.2,F
Petronela,Simiuc,EW 1.5K,SO,Toledo,04:25.3,F
Carly,Hamilton,EW 1.5K,SR,Virginia,04:25.4,F
Clare,Peabody,EW 1.5K,JR,Brown,04:25.6,F
Hannah,Brookover,EW 1.5K,FR,Florida,04:25.6,F
Tori,Gerlach,EW 1.5K,SR,Penn State,04:25.6,F
Dana,Dillistone,EW 1.5K,SR,So Mississippi,04:25.6,F
Amy,Ruiz,EW 1.5K,SO,Georgia Tech,04:25.7,F
Caroline,Sang,EW 1.5K,JR,Charlotte,04:25.7,F
Erin,McDonald,EW 1.5K,SO,Michigan State,04:25.7,F
Marissa,Sheva,EW 1.5K,FR,Penn State,04:25.8,F
Katy,Kunc,EW 1.5K,JR,Kentucky,04:25.9,F
Alexis,Wiersma,EW 1.5K,SR,Michigan State,04:26.0,F
Sarah,Chandler,EW 1.5K,SR,Bucknell,04:26.1,F
Cleo,Boyd,EW 1.5K,SR,Virginia,04:26.1,F
Ann,Asipan,EW 1.5K,SR,Tenn-Martin,04:26.3,F
Charlotte,Stephens,EW 1.5K,JR,Georgia Tech,04:26.3,F
Jillian,Hunsberger,EW 1.5K,SO,Penn State,04:26.4,F
Jenna,Cupp,EW 1.5K,SR,Monmouth,04:26.6,F
Taylor,Worthy,EW 1.5K,SR,Brown,04:26.6,F
Libby,Kokes,EW 1.5K,SO,Columbia,04:26.7,F
Haley,Pierce,EW 1.5K,SR,Georgetown,04:26.7,F
Rachel,Pocratsky,EW 1.5K,SO,Virginia Tech,04:26.7,F
Judy,Pendergast,EW 1.5K,FR,Harvard,04:26.8,F
Carol,Strock,EW 1.5K,SR,James Madison,04:26.8,F
Sarah,Edwards,EW 1.5K,FR,Virginia Tech,04:26.8,F
Mia,Ross,EW 1.5K,JR,Louisville,04:26.8,F
Jackie,Katzman,EW 1.5K,JR,Cornell,04:26.9,F
Savannah,Carnahan,EW 1.5K,FR,Furman,04:27.0,F
Reagan,Bustamante,EW 1.5K,FR,Vanderbilt,04:27.1,F
Hollie,Parker,EW 1.5K,SO,LSU,04:27.1,F
Sarah,Sears,EW 1.5K,JR,Davidson,04:27.1,F
Brighie,Leach,EW 1.5K,SO,Princeton,04:27.1,F
Martha,Bissah,EW 1.5K,FR,Norfolk State,04:27.1,F
Claire,Borchers,EW 1.5K,JR,Michigan,04:27.1,F
Jill,Weston,EW 1.5K,JR,Kentucky,04:27.1,F
Rachel,Coleman,EW 1.5K,SO,Michigan,04:27.2,F
Madison,Offstein,EW 1.5K,SO,Princeton,04:27.2,F
Corinne,Cominator,EW 1.5K,JR,Indiana,04:27.3,F
Taylor,Austin,EW 1.5K,JR,Indiana State,04:27.3,F
Candace,Jones,EW 1.5K,FR,West Virginia,04:27.3,F
Delaney,Miller,EW 1.5K,JR,Princeton,04:27.3,F
Sarah,Forman,EW 1.5K,SO,Siena,04:27.4,F
Jordann,McDermitt,EW 1.5K,JR,East Michigan,04:27.4,F
Emma,Garner,EW 1.5K,JR,Samford,04:27.4,F
Audrey,Belf,EW 1.5K,SO,Georgetown,04:27.5,F
Haley,Harris,EW 1.5K,SO,Indiana,04:27.5,F
Lucy,Biles,EW 1.5K,SO,North Carolina,04:27.7,F
Hannah,Waggoner,EW 1.5K,SR,Alabama,04:27.7,F
Clarissa,Whiting,EW 1.5K,SR,Penn,04:27.8,F
Anna,Rohrer,EW 1.5K,FR,Notre Dame,04:27.8,F
Kim,Hallowes,EW 1.5K,SO,Duke,04:27.9,F
Devon,Towell,EW 1.5K,SR,Columbia,04:27.9,F
Sammy,Bockoven,EW 1.5K,SO,Villanova,04:27.9,F
Olivia,Pratt,EW 1.5K,SR,Butler,04:28.0,F
Cleo,Whiting,EW 1.5K,SR,Penn,04:28.0,F
Siofra,Cleirigh Buttner,EW 1.5K,JR,Villanova,04:28.2,F
Elizabeth,Chikotas,EW 1.5K,SO,Penn State,04:28.2,F
Kacey,Kemper,EW 1.5K,JR,Lipscomb,04:28.3,F
Peyton,McGovern,EW 1.5K,FR,Richmond,04:28.4,F
Allie,Buchalski,EW 5K,JR,Furman,15:35.6,F
Erika,Kemp,EW 5K,JR,NC State,15:41.2,F
Anna,Rohrer,EW 5K,FR,Notre Dame,15:43.1,F
Anne-Marie,Blaney,EW 5K,SR,UCF,15:43.6,F
Katherine,Receveur,EW 5K,SO,Indiana,15:46.3,F
Brianna,Ilarda,EW 5K,JR,Providence,15:46.9,F
Gina,Sereno,EW 5K,SR,Michigan,15:49.2,F
Alsu,Bogdanova,EW 5K,JR,East Michigan,15:54.9,F
Jordann,McDermitt,EW 5K,JR,East Michigan,15:58.1,F
Tori,Gerlach,EW 5K,SR,Penn State,15:58.9,F
Charlotte,Imer,EW 5K,JR,East Kentucky,15:59.3,F
Henna,Rustami,EW 5K,SR,Columbia,15:59.8,F
Margaret,Allen,EW 5K,SO,Indiana,16:00.5,F
Ellie,Abrahamson,EW 5K,SR,Wake Forest,16:01.4,F
Rachel,Koon,EW 5K,SO,NC State,16:01.6,F
Elly,Henes,EW 5K,FR,NC State,16:01.7,F
Alexis,Wiersma,EW 5K,SR,Michigan State,16:02.1,F
Ryen,Frazier,EW 5K,FR,NC State,16:02.4,F
Veronica,Eder,EW 5K,SR,Auburn,16:03.1,F
Jillian,Hunsberger,EW 5K,SO,Penn State,16:04.2,F
Natalie,Tanner,EW 5K,SR,Columbia,16:04.7,F
Emily,Durgin,EW 5K,SR,Connecticut,16:05.4,F
Haley,Pierce,EW 5K,SR,Georgetown,16:07.1,F
Taylor,Tubbs,EW 5K,SR,Florida,16:08.1,F
Ann,Asipan,EW 5K,SR,Tenn-Martin,16:08.4,F
Caroline,Sang,EW 5K,JR,Charlotte,16:08.5,F
Regan,Rome,EW 5K,JR,William and Mary,16:10.0,F
Abbey,Wheeler,EW 5K,FR,Providence,16:10.7,F
Brenna,Calder,EW 5K,JR,Indiana,16:10.8,F
Paige,Stoner,EW 5K,SO,Syracuse,16:10.9,F
Mary,Alex England,EW 5K,SR,Ole Miss,16:10.9,F
Jessica,Drop,EW 5K,FR,Georgia,16:12.1,F
Gillian,Schriever,EW 5K,SO,Pittsburgh,16:12.5,F
Ashley,Montgomery,EW 5K,SR,Penn,16:14.2,F
Tessa,Barrett,EW 5K,SO,Penn State,16:15.4,F
Katy,Kunc,EW 5K,JR,Kentucky,16:17.7,F
Carmela,Cardama Baez,EW 5K,FR,Florida State,16:17.8,F
Emma,Benner,EW 5K,FR,Purdue,16:17.8,F
Brenda,Kigen,EW 5K,SO,Auburn,16:18.4,F
Clarissa,Whiting,EW 5K,SR,Penn,16:20.7,F
Shelby,Brown,EW 5K,JR,Ole Miss,16:21.0,F
Luisa,Boschan,EW 5K,JR,East Kentucky,16:21.0,F
Savannah,Carnahan,EW 5K,FR,Furman,16:21.2,F
Morgan,Ilse,EW 5K,SO,North Carolina,16:21.2,F
Madeline,Perez,EW 5K,JR,Georgetown,16:21.6,F
Nell,Crosby,EW 5K,SO,Columbia,16:22.5,F
Judy,Pendergast,EW 5K,FR,Harvard,16:22.9,F
Millie,Paladino,EW 5K,JR,Providence,16:23.6,F
Isabelle,Kennedy,EW 5K,JR,Boston College,16:24.2,F
Alexa,Pelletier,EW 5K,JR,Notre Dame,16:24.9,F
Carmen,Carlos,EW 5K,SR,Vanderbilt,16:26.4,F
Tristin,Van Ord,EW 5K,SR,Appalachian,16:26.5,F
Sydney,Meyers,EW 5K,SO,East Michigan,16:27.3,F
Annie,Heffernan,EW 5K,FR,Notre Dame,16:27.8,F
Hannah,Christen,EW 5K,JR,Ole Miss,16:27.9,F
Joan,Jepkirui,EW 5K,SO,Toledo,16:28.5,F
Kathryn,Munks,EW 5K,FR,Penn State,16:28.6,F
Alyssa,Rudawsky,EW 5K,JR,NC State,16:28.8,F
Madeleine,Davison,EW 5K,FR,Syracuse,16:29.3,F
Alexandra,Markovich,EW 5K,SR,Princeton,16:29.6,F
Colleen,Buckley,EW 5K,SO,Bucknell,16:29.8,F
Andrea,Masterson,EW 5K,SO,Yale,16:29.9,F
Catarina,Rocha,EW 5K,JR,Providence,16:30.2,F
Mia,Meydrich,EW 5K,JR,Miss State,16:30.3,F
Maura,Henderson,EW 5K,SO,Lehigh,16:30.6,F
Katie,Lembo,EW 5K,JR,Providence,16:30.8,F
Jeralyn,Poe,EW 5K,FR,Michigan State,16:31.3,F
Elianna,Shwayder,EW 5K,JR,Harvard,16:31.3,F
Molly,McKenna,EW 5K,JR,William and Mary,16:31.6,F
Megan,Curham,EW 5K,JR,Princeton,16:31.9,F
Amber,Way,EW 5K,FR,Michigan State,16:32.8,F
Kat,MacNeal,EW 5K,JR,Ole Miss,16:33.0,F
Courtney,Brenner,EW 5K,FR,Lipscomb,16:33.2,F
Grace,Lachmund,EW 5K,JR,Purdue,16:33.9,F
Kyla,Van Graan,EW 5K,SR,Coastal Carolina,16:34.9,F
Anna,Braswell,EW 5K,JR,Ole Miss,16:36.1,F
Kelsie,Schwartz,EW 5K,SO,Michigan State,16:36.3,F
Rachel,Walny,EW 5K,SO,Bowling Green,16:37.2,F
Christine,Bendzinski,EW 5K,JR,Bucknell,16:37.2,F
Shannon,Fair,EW 5K,SO,Miss State,16:37.4,F
Olivia,Lantz,EW 5K,SO,Dartmouth,16:38.1,F
Jessica,Goethals,EW 5K,SO,Michigan State,16:38.5,F
Gabrielle,Hesslau,EW 5K,JR,Miami,16:38.7,F
Cleo,Whiting,EW 5K,SR,Penn,16:38.7,F
Gabrielle,Forrest,EW 5K,SO,Princeton,16:39.2,F
Autumn,Greba,EW 5K,SR,Duquesne,16:39.3,F
Megan,Huebner,EW 5K,JR,Vanderbilt,16:39.4,F
Hannah,Waggoner,EW 5K,SR,Alabama,16:39.5,F
Megan,O'Neil,EW 5K,JR,Cen Michigan,16:40.0,F
Rachel,Coleman,EW 5K,SO,Michigan,16:40.0,F
Caroline,Lambert,EW 5K,SO,Toledo,16:40.4,F
Taylor,Worthy,EW 5K,SR,Brown,16:40.8,F
Emily,Bean,EW 5K,JR,Ole Miss,16:41.8,F
Bailey,Davis,EW 5K,JR,Louisville,16:42.0,F
Militsa,Mircheva,EW 5K,JR,Florida State,16:42.5,F
Christine,Frederick,EW 5K,JR,Ohio State,16:42.9,F
Emma,Garner,EW 5K,JR,Samford,16:43.0,F
Rachel,Levy,EW 5K,FR,Oakland,16:43.1,F
Jenny,Delsignore,EW 5K,JR,Duquesne,16:43.3,F
Jenny,Rogers,EW 5K,SO,Michigan State,16:43.6,F
Shelby,Cain,EW 5K,JR,Richmond,16:43.9,F
Dana,Dillistone,EW 5K,SR,So Mississippi,16:44.1,F
Alexandra,Brown,EW 5K,SR,Wright State,16:44.3,F
Courtney,Akerley,EW 5K,SO,Connecticut,16:44.5,F
Claire,Noser,EW 5K,SR,Louisville,16:44.6,F
Sydney,Badger,EW 5K,SO,Michigan,16:44.8,F
Haley,Harris,EW 5K,SO,Indiana,16:47.1,F
Miranda,DiBiasio,EW 5K,JR,George Washingto,16:47.3,F
Maddie,Westerhoff,EW 5K,SR,Butler,16:47.3,F
Jessica,Passwater,EW 5K,SO,Ohio State,16:47.4,F
Taylor,Vernot,EW 5K,SO,Dayton,16:47.4,F
Abigail,McLaughlin,EW 5K,FR,Columbia,16:47.7,F
Kelly,Schubert,EW 5K,SR,Cen Michigan,16:48.9,F
Elizabeth,Bird,EW 5K,SR,Princeton,16:49.1,F
Katie,Kennedy,EW 5K,JR,Virginia Tech,16:49.1,F
Allie,Klimkiewicz,EW 5K,SO,Princeton,16:49.4,F
Lainey,Studebaker,EW 5K,FR,Ohio State,16:49.5,F
Samantha,Drop,EW 5K,FR,Georgia,16:49.6,F
Mikayla,Richardson,EW 5K,FR,Virginia Tech,16:50.0,F
Claire,Ostrowski,EW 5K,FR,Navy,16:50.1,F
Caroline,Pietrzyk,EW 5K,FR,Vanderbilt,16:50.4,F
Bethany,Nunnery,EW 5K,FR,Army West Point,16:50.4,F
Erin,McLaughlin,EW 5K,JR,Cornell,16:50.4,F
Meredith,Smith,EW 5K,SO,Wake Forest,16:50.8,F
Autumn,Eastman,EW 5K,JR,Georgetown,16:51.1,F
Ann,Campbell,EW 5K,SO,Villanova,16:51.2,F
Stephanie,Ward,EW 5K,FR,Buffalo,16:51.4,F
Annie,Bothma,EW 5K,FR,Coastal Carolina,16:51.6,F
Claire,Wiles,EW 5K,SO,Ohio State,16:51.8,F
Haley,Ward,EW 5K,SR,Ole Miss,16:52.2,F
Logan,Morris,EW 5K,FR,Clemson,16:52.6,F
Lauren,Gronbeck,EW 5K,FR,Bucknell,16:52.7,F
Olivia,Hill,EW 5K,FR,West Virginia,16:53.2,F
Chelsea,Ladd,EW 5K,JR,Memphis,16:53.2,F
Caroline,Yarbrough,EW 5K,SO,Davidson,16:53.5,F
Jennifer,Fleming,EW 5K,SO,Virginia Tech,16:53.5,F
Leigh,Moffett,EW 5K,JR,Dartmouth,16:53.7,F
Margaret,Champagne,EW 5K,FR,New Hampshire,16:54.0,F
Mary,Malone,EW 5K,JR,Syracuse,16:54.1,F
Nicole,Gardner,EW 5K,SO,Alabama,16:54.1,F
Taylor,Knibb,EW 5K,FR,Cornell,16:54.7,F
Carly,Davis,EW 5K,FR,Miami (Ohio),16:54.9,F
Elisabeth,Gaillet,EW 5K,JR,Ole Miss,16:54.9,F
Siobhan,Quinn,EW 5K,SO,Canisius,16:55.2,F
Jenna,Farmer,EW 5K,SO,Bucknell,16:55.2,F
Nicole,Marvin,EW 5K,SR,Princeton,16:55.2,F
Kathryn,Little,EW 5K,SR,Virginia Tech,16:55.5,F
Catherine,Blaney,EW 5K,SR,Florida State,16:55.8,F
Amy,Kelly,EW 5K,JR,Pittsburgh,16:56.0,F
Yanely,Gomez,EW 5K,FR,Georgia,16:56.0,F
Anna,Rohrer,EW 10K,FR,Notre Dame,31:59.0,F
Anne-Marie,Blaney,EW 10K,SR,UCF,33:18.8,F
Molly,Seidel,EW 10K,SR,Notre Dame,33:19.6,F
Veronica,Eder,EW 10K,SR,Auburn,33:35.7,F
Regan,Rome,EW 10K,JR,William and Mary,33:36.2,F
Erika,Kemp,EW 10K,JR,NC State,33:36.3,F
Jordann,McDermitt,EW 10K,JR,East Michigan,33:37.4,F
Eden,Meyer,EW 10K,JR,North Florida,33:43.4,F
Caroline,Sang,EW 10K,JR,Charlotte,33:44.4,F
Olivia,Pratt,EW 10K,SR,Butler,33:46.0,F
Anna,Braswell,EW 10K,JR,Ole Miss,33:47.2,F
Natalie,Tanner,EW 10K,SR,Columbia,33:48.2,F
Emily,Durgin,EW 10K,SR,Connecticut,33:49.3,F
Bella,Burda,EW 10K,SO,Villanova,33:50.4,F
Gina,Sereno,EW 10K,SR,Michigan,33:53.0,F
Amber,Way,EW 10K,FR,Michigan State,33:54.7,F
Jillian,Hunsberger,EW 10K,SO,Penn State,33:55.5,F
Paige,Stoner,EW 10K,SO,Syracuse,33:55.7,F
Margaret,Allen,EW 10K,SO,Indiana,33:56.4,F
Alexa,Pelletier,EW 10K,JR,Notre Dame,33:59.7,F
Alexis,Wiersma,EW 10K,SR,Michigan State,34:01.7,F
Rachel,Walny,EW 10K,SO,Bowling Green,34:02.6,F
Maggie,Drazba,EW 10K,JR,West Virginia,34:04.3,F
Tristin,Van Ord,EW 10K,SR,Appalachian,34:04.6,F
Isabelle,Kennedy,EW 10K,JR,Boston College,34:04.9,F
Gillian,Schriever,EW 10K,SO,Pittsburgh,34:05.1,F
Kathryn,Munks,EW 10K,FR,Penn State,34:05.3,F
Mary,Alex England,EW 10K,SR,Ole Miss,34:07.5,F
Emily,Bean,EW 10K,JR,Ole Miss,34:07.6,F
Cleo,Whiting,EW 10K,SR,Penn,34:09.7,F
Annie,Heffernan,EW 10K,FR,Notre Dame,34:11.2,F
Annie,Bothma,EW 10K,FR,Coastal Carolina,34:12.0,F
Chelsea,Blaase,EW 10K,SR,Tennessee,34:17.7,F
Emma,Benner,EW 10K,FR,Purdue,34:19.4,F
Caroline,Lambert,EW 10K,SO,Toledo,34:21.5,F
Abigail,McLaughlin,EW 10K,FR,Columbia,34:31.2,F
Mia,Meydrich,EW 10K,JR,Miss State,34:33.0,F
Rachel,Koon,EW 10K,SO,NC State,34:35.0,F
Kelsie,Schwartz,EW 10K,SO,Michigan State,34:35.4,F
Molly,McKenna,EW 10K,JR,William and Mary,34:35.7,F
Joan,Maritim,EW 10K,JR,Campbell,34:35.8,F
Hannah,Christen,EW 10K,JR,Ole Miss,34:36.4,F
Maria,Scavuzzo,EW 10K,JR,Miami (Ohio),34:38.2,F
Kathleen,Darling,EW 10K,SR,Notre Dame,34:38.2,F
Madeline,Perez,EW 10K,JR,Georgetown,34:40.8,F
Samantha,Drop,EW 10K,FR,Georgia,34:45.7,F
Catherine,Scott,EW 10K,SR,Bucknell,34:46.5,F
Jessica,Goethals,EW 10K,SO,Michigan State,34:46.5,F
Abigail,Motley,EW 10K,JR,Virginia Tech,34:48.3,F
Andrea,Masterson,EW 10K,SO,Yale,34:48.6,F
Shannon,Malone,EW 10K,JR,Syracuse,34:49.2,F
Hannah,Capek,EW 10K,FR,Alabama,34:50.7,F
Melissa,Fairey,EW 10K,SR,Georgia Tech,34:50.8,F
Faith,Keitany,EW 10K,FR,Hampton,34:52.9,F
Maddie,Westerhoff,EW 10K,SR,Butler,34:52.9,F
Emily,Stoodley,EW 10K,SO,Ohio State,34:53.3,F
Joan,Jepkirui,EW 10K,SO,Toledo,34:53.5,F
Janet,Okeago,EW 10K,FR,Hampton,34:55.2,F
Christine,Frederick,EW 10K,JR,Ohio State,34:55.5,F
Miranda,DiBiasio,EW 10K,JR,George Washingto,34:55.5,F
Mary,Malone,EW 10K,JR,Syracuse,34:58.6,F
Barbara,Lee Ball,EW 10K,SR,Lipscomb,34:59.2,F
Judy,Pendergast,EW 10K,FR,Harvard,34:59.4,F
Gabrielle,Hesslau,EW 10K,JR,Miami,35:00.3,F
Rebecca,Schott,EW 10K,JR,Bowling Green,35:00.4,F
Courtney,Brenner,EW 10K,FR,Lipscomb,35:00.6,F
Alexandra,Brown,EW 10K,SR,Wright State,35:01.1,F
MacKenzie,Landa,EW 10K,JR,Florida State,35:03.5,F
Chanli,Mundy,EW 10K,JR,Indiana,35:04.8,F
Cassandra,Gill,EW 10K,SR,Iona,35:09.8,F
Yanely,Gomez,EW 10K,FR,Georgia,35:10.4,F
Caroline,Gosser,EW 10K,FR,Louisville,35:10.7,F
Kelly,Pasko,EW 10K,JR,Siena,35:11.3,F
Erin,McLaughlin,EW 10K,JR,Cornell,35:12.7,F
Clarissa,Whiting,EW 10K,SR,Penn,35:16.7,F
Alayna,Sonnesyn,EW 10K,JR,Vermont,35:17.6,F
Elianna,Shwayder,EW 10K,JR,Harvard,35:18.0,F
Jennifer,Lichter,EW 10K,SO,Toledo,35:18.2,F
Madeline,Britton,EW 10K,JR,Xavier (Ohio),35:18.7,F
Delainey,Phelps,EW 10K,JR,Toledo,35:18.8,F
Allison,Marella,EW 10K,JR,Towson,35:21.2,F
Shannon,Fair,EW 10K,SO,Miss State,35:23.8,F
Colleen,Buckley,EW 10K,SO,Bucknell,35:23.9,F
Lauren,Bartels,EW 10K,SO,Tulane,35:27.5,F
Autumn,Albrecht,EW 10K,SO,Vermont,35:28.3,F
Grace,Lachmund,EW 10K,JR,Purdue,35:29.0,F
Megan,Ratcliffe,EW 10K,JR,Brown,35:30.3,F
Katie,Lembo,EW 10K,JR,Providence,35:31.2,F
Chelsea,Ladd,EW 10K,JR,Memphis,35:31.7,F
Nicole,Marvin,EW 10K,SR,Princeton,35:33.0,F
Julia,Flower,EW 10K,FR,Iona,35:34.1,F
Hanne,Christensen,EW 10K,JR,West Michigan,35:34.9,F
Arnica,Zitting,EW 10K,JR,Memphis,35:36.6,F
Kathryn,Little,EW 10K,SR,Virginia Tech,35:37.4,F
Kelly,Schubert,EW 10K,SR,Cen Michigan,35:38.0,F
Olivia,Hill,EW 10K,FR,West Virginia,35:38.8,F
Brittany,Mendelson,EW 10K,JR,Cen Connecticut,35:38.8,F
Katja,Woelfl,EW 10K,JR,McNeese State,35:39.2,F
Leigh,Moffett,EW 10K,JR,Dartmouth,35:39.9,F
Meagan,Hopkins,EW 10K,SR,Buffalo,35:43.6,F
Bianca,Bishop,EW 10K,SO,NC State,35:46.0,F
Jessica,Elliott,EW 10K,JR,Cornell,35:47.8,F
Chloe,Binczyk,EW 10K,JR,Columbia,35:49.8,F
Emily,Moore,EW 10K,SO,Lafayette,35:50.2,F
Katy,Link,EW 10K,SR,UNC-Greensboro,35:50.4,F
Erika,Fluehr,EW 10K,SR,Michigan,35:50.8,F
Kelli,Reagan,EW 10K,JR,Yale,35:50.9,F
Haley,Ward,EW 10K,SR,Ole Miss,35:51.4,F
Jessica,Donohue,EW 10K,SR,Albany,35:52.1,F
Melissa,Reed,EW 10K,JR,Princeton,35:52.2,F
Taylor,Knibb,EW 10K,FR,Cornell,35:52.4,F
Kathryn,Gearhart,EW 10K,FR,Maryland,35:52.4,F
Shelby,Cuddeback,EW 10K,SR,Elon,35:53.1,F
Kidan,Kidane,EW 10K,SR,Kennesaw State,35:55.3,F
Sarah,Hamon,EW 10K,JR,UNC-Wilmington,35:56.5,F
Emma,Newton,EW 10K,SO,Tulane,35:56.9,F
Anna,Nelson,EW 10K,SR,Auburn,35:57.4,F
Lauren,Gronbeck,EW 10K,FR,Bucknell,35:58.0,F
Megan,Doty,EW 10K,SO,Indiana State,35:58.8,F
